area,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,price,city_Islamabad,city_Karachi,city_Lahore,city_Peshawar,city_Rawalpindi,location,location_type_High,location_type_Low,location_type_Medium
125,0,0,0,0,0,0,0,1,5,0,0,0,1,0,Warsak Road,0,1,0
125,0,0,0,0,0,0,1,0,4.7,0,0,0,1,0,DHA Phase 1,0,1,0
125,0,0,0,0,0,0,1,1,9.6,0,0,0,1,0,DHA Defence,0,0,1
125,0,0,0,0,0,1,0,0,8.8,0,0,0,1,0,Regi Model Town,0,0,1
125,0,0,0,0,0,0,0,1,4.5,0,0,0,1,0,Warsak Road,0,1,0
125,0,0,0,0,0,0,1,1,9,0,0,0,1,0,DHA Defence,0,0,1
125,0,0,0,0,0,0,1,0,4.8,0,0,0,1,0,DHA Phase 1,0,1,0
125,0,0,0,0,0,0,1,0,4.9,0,0,0,1,0,DHA Phase 1,0,1,0
125,0,0,0,0,0,0,1,0,5,0,0,0,1,0,DHA Phase 1,0,1,0
125,0,0,0,0,0,0,1,0,7.25,0,0,0,1,0,DHA Phase 1,0,0,1
125,0,0,0,0,0,0,1,1,8.5,0,0,0,1,0,DHA Defence,0,0,1
125,0,0,0,0,0,1,0,0,8.6,0,0,0,1,0,Regi Model Town,0,0,1
125,0,0,0,0,0,1,0,0,8.4,0,0,0,1,0,Regi Model Town,0,0,1
125,0,0,0,0,0,1,0,0,8.2,0,0,0,1,0,Regi Model Town,0,0,1
125,0,0,0,0,0,1,0,0,3.6,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,3.7,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,3.8,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,4,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,4.5,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,1.7,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,1.9,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,2.2,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,0,0,1,6,0,0,0,1,0,Warsak Road,0,1,0
125,0,0,0,0,0,0,1,1,9.2,0,0,0,1,0,DHA Defence,0,0,1
125,0,0,0,0,1,0,0,1,22,0,0,0,1,0,Hayatabad,1,0,0
