area,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,project,price,city_Islamabad,city_Karachi,city_Lahore,city_Peshawar,city_Rawalpindi,location,location_type_High,location_type_Low,location_type_Medium
125,0,0,0,0,0,0,0,1,Sudais Villas,5000000,0,0,0,1,0,Warsak Road,0,1,0
125,0,0,0,0,0,0,1,0,DHA Phase 1 - Sector F,4700000,0,0,0,1,0,DHA Phase 1,0,1,0
125,0,0,0,0,0,0,1,1,DHA Defence - Sector Prism,9600000,0,0,0,1,0,DHA Defence,0,0,1
125,0,0,0,0,0,1,0,0,Regi Model Town Phase 3,8800000,0,0,0,1,0,Regi Model Town,0,0,1
125,0,0,0,0,0,0,0,1,Sudais Villas,4500000,0,0,0,1,0,Warsak Road,0,1,0
125,0,0,0,0,0,0,1,1,DHA Defence - Sector Prism,9000000,0,0,0,1,0,DHA Defence,0,0,1
125,0,0,0,0,0,0,1,0,DHA Phase 1 - Sector F,4800000,0,0,0,1,0,DHA Phase 1,0,1,0
125,0,0,0,0,0,0,1,0,DHA Phase 1 - Sector F,4900000,0,0,0,1,0,DHA Phase 1,0,1,0
125,0,0,0,0,0,0,1,0,DHA Phase 1 - Sector F,5000000,0,0,0,1,0,DHA Phase 1,0,1,0
125,0,0,0,0,0,0,1,0,DHA Phase 1 - Sector G,7250000,0,0,0,1,0,DHA Phase 1,0,0,1
125,0,0,0,0,0,0,1,1,DHA Defence - Sector Prism,8500000,0,0,0,1,0,DHA Defence,0,0,1
125,0,0,0,0,0,1,0,0,Regi Model Town Phase 3,8600000,0,0,0,1,0,Regi Model Town,0,0,1
125,0,0,0,0,0,1,0,0,Regi Model Town Phase 3,8400000,0,0,0,1,0,Regi Model Town,0,0,1
125,0,0,0,0,0,1,0,0,Regi Model Town Phase 3,8200000,0,0,0,1,0,Regi Model Town,0,0,1
125,0,0,0,0,0,1,0,0,Regi Model Town Phase 1,3600000,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,Regi Model Town Phase 1,3700000,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,Regi Model Town Phase 1,3800000,0,0,0,1,0,Regi Model Town,0,1,0
125,0,0,0,0,0,1,0,0,Regi Model Town Phase 1,4000000,0,0,0,1,0,Regi Model Town,0,1,0
